I recently discovered...
My dream dinner guest is...
I recently traveled to...
My kind of adventure...
My favorite vegan cheese...
I have the best recipe for...
Get you someone who… 
My go-to hobby in my free time...
If loving this is wrong, I don’t want to be right...
My 10 year old self would freak out if they knew…
I wish my younger self knew...
My activism of choice...
My dream vacation...
My friends would say I’m...
My mantra...
My perfect morning…
Most people are surprised to know this about me...
My simple pleasures...
I’m a bit neurotic about...
This inspired me to go vegan / vegetarian…
I want someone who...
Unusual skills...
We’ll get along if...
Recently I’ve been jamming to...
What I learned during quarantine…
This year I’ve binged on..
My guilty pleasure...
